Antennapattern,Azimuth,Downtilt,Frequency,Gain,Height,Latitude,Longitude,Name,Number,Polarisation,Power,Power Mode,Power Unit,Cable Loss,Cable Length,Cable Loss dB/100m,Radiating cable loss,Coupling loss,Distance for coupling loss,Carrier,Signal/system index for DAS,Index for MIMO systems
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,23.150000,0.000000,2115.000000,17.688000,42.000000,4484647.830594,417101.194063,6E0FA95,1,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,79.209999,0.000000,2115.000000,18.598001,42.000000,4512586.930000,428243.260000,6E1BB95,2,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,17.450001,0.000000,2115.000000,17.688000,42.000000,4506907.836762,427277.836263,6E1BB96,3,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,98.320000,0.000000,2115.000000,17.688000,42.000000,4513009.146581,427364.427075,6E1D495,4,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,83.360001,0.000000,2115.000000,17.688000,42.000000,4511392.887390,417428.517034,6E1D695,5,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,50.599998,0.000000,2115.000000,17.688000,42.000000,4505784.603339,420632.450176,6E1F795,6,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,312.149994,0.000000,2115.000000,17.688000,42.000000,4511045.905547,431001.457279,6E22695,7,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,339.940002,0.000000,2115.000000,17.688000,42.000000,4509804.333443,430192.065116,6E22696,8,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,90.150002,0.000000,2115.000000,17.688000,42.000000,4512760.784454,426098.000727,6E22697,9,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,326.209991,0.000000,2115.000000,17.688000,42.000000,4512152.052033,429517.560170,6E2EE98,10,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,2.850000,0.000000,2115.000000,17.688000,42.000000,4498190.651772,428389.325373,6E5B395,11,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,49.779999,0.000000,2115.000000,17.688000,42.000000,4499924.293589,413944.623867,6E63E95,12,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,20.129999,0.000000,2115.000000,17.688000,42.000000,4501439.276221,424968.361368,6E64295,13,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,19.230000,0.000000,2115.000000,17.688000,42.000000,4499633.939822,424539.673595,6E65297,14,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
Y:\work\att_proj\att_campus\antennas\NNH4\NNH4-65C-R6-V3_Port 5 +45_00DT_2355.msi,21.010000,0.000000,2115.000000,17.688000,42.000000,4490881.744267,420716.551432,6E65D95,15,0,36.000000,OutputPA,dBm,0,0.000000,2.000000,2.000000,60.000000,2.000000,1,-1,-1
